time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
829785,6.24484690,-75.56063550,34,1530.90002,0.00000,0,0
830834,6.24484690,-75.56063550,34,1530.90002,0.00000,0,0
831837,6.24490920,-75.56095580,33,1530.19995,0.00000,0,0
832830,6.24490920,-75.56095580,33,1530.19995,0.00000,0,0
833831,6.24490920,-75.56095580,33,1530.19995,0.00000,0,0
834834,6.24490920,-75.56095580,33,1530.19995,0.00000,0,0
835831,6.24490920,-75.56095580,33,1530.19995,0.00000,0,0
836832,6.24514630,-75.56120100,33,1529.30005,0.00000,0,0
837831,6.24514630,-75.56120100,33,1529.30005,0.00000,0,0
838832,6.24514630,-75.56120100,33,1529.30005,0.00000,0,0
839831,6.24514630,-75.56120100,33,1529.30005,0.00000,0,0
840882,6.24514630,-75.56120100,33,1529.30005,0.00000,0,0
841930,6.24522200,-75.56159020,39,1528.19995,0.00000,0,0
842933,6.24522200,-75.56159020,39,1528.19995,0.00000,0,0
843982,6.24522200,-75.56159020,39,1528.19995,0.00000,0,0
844989,6.24522200,-75.56159020,39,1528.19995,0.00000,0,0
845981,6.24522200,-75.56159020,39,1528.19995,0.00000,0,0
846977,6.24544240,-75.56197850,28,1527.50000,0.00000,0,0
847981,6.24544240,-75.56197850,28,1527.50000,0.00000,0,0
848982,6.24544240,-75.56197850,28,1527.50000,0.00000,0,0
849981,6.24544240,-75.56197850,28,1527.50000,0.00000,0,0
850984,6.24544240,-75.56197850,28,1527.50000,0.00000,0,0
851982,6.24542580,-75.56172120,57,0.00000,0.00000,0,0
852984,6.24542580,-75.56172120,57,0.00000,0.00000,0,0
854031,6.24542580,-75.56172120,57,0.00000,0.00000,0,0
855085,6.24542580,-75.56172120,57,0.00000,0.00000,0,0
856078,6.24542580,-75.56172120,57,0.00000,0.00000,0,0
857080,6.24542580,-75.56172120,57,0.00000,0.00000,0,0
858081,6.24539760,-75.56176880,34,0.00000,0.00000,0,0
859083,6.24539760,-75.56176880,34,0.00000,0.00000,0,0
860134,6.24539760,-75.56176880,34,0.00000,0.00000,0,0
861178,6.24545150,-75.56187710,94,0.00000,0.00000,0,0
862184,6.24545150,-75.56187710,94,0.00000,0.00000,0,0
863181,6.24545150,-75.56187710,94,0.00000,0.00000,0,0
864232,6.24545150,-75.56187710,94,0.00000,0.00000,0,0
865278,6.24545150,-75.56187710,94,0.00000,0.00000,0,0
866277,6.24542640,-75.56170800,62,0.00000,0.00000,0,0
867282,6.24542640,-75.56170800,62,0.00000,0.00000,0,0
868331,6.24542640,-75.56170800,62,0.00000,0.00000,0,0
869330,6.24542640,-75.56170800,62,0.00000,0.00000,0,0
870327,6.24542640,-75.56170800,62,0.00000,0.00000,0,0
871328,6.24538020,-75.56193740,101,0.00000,0.00000,0,0
872334,6.24538020,-75.56193740,101,0.00000,0.00000,0,0
873333,6.24538020,-75.56193740,101,0.00000,0.00000,0,0
874335,6.24538020,-75.56193740,101,0.00000,0.00000,0,0
875327,6.24538020,-75.56193740,101,0.00000,0.00000,0,0
876479,6.24538020,-75.56193740,101,0.00000,0.00000,0,0
877351,6.24534940,-75.56183140,102,0.00000,0.00000,0,0
878326,6.24534940,-75.56183140,102,0.00000,0.00000,0,0
879329,6.24534940,-75.56183140,102,0.00000,0.00000,0,0
880433,6.24534940,-75.56183140,102,0.00000,0.00000,0,0
881326,6.24544040,-75.56189450,106,0.00000,0.00000,0,0
882327,6.24544040,-75.56189450,106,0.00000,0.00000,0,0
883328,6.24544040,-75.56189450,106,0.00000,0.00000,0,0
884327,6.24544040,-75.56189450,106,0.00000,0.00000,0,0
885326,6.24544040,-75.56189450,106,0.00000,0.00000,0,0
886336,6.24544040,-75.56189450,106,0.00000,0.00000,0,0
887333,6.24563220,-75.56206600,41,0.00000,0.00000,0,0
888327,6.24563220,-75.56206600,41,0.00000,0.00000,0,0
889332,6.24563220,-75.56206600,41,0.00000,0.00000,0,0
890329,6.24563220,-75.56206600,41,0.00000,0.00000,0,0
891336,6.24563220,-75.56206600,41,0.00000,0.00000,0,0
892379,6.24572250,-75.56234820,29,1525.90002,0.00000,0,0
893427,6.24572250,-75.56234820,29,1525.90002,0.00000,0,0
894428,6.24572250,-75.56234820,29,1525.90002,0.00000,0,0
895429,6.24572250,-75.56234820,29,1525.90002,0.00000,0,0
896427,6.24572250,-75.56234820,29,1525.90002,0.00000,0,0
897430,6.24587190,-75.56257320,28,1527.00000,0.00000,0,0
898429,6.24587190,-75.56257320,28,1527.00000,0.00000,0,0
899431,6.24587190,-75.56257320,28,1527.00000,0.00000,0,0
900433,6.24587190,-75.56257320,28,1527.00000,0.00000,0,0
901430,6.24587190,-75.56257320,28,1527.00000,0.00000,0,0
902504,6.24594820,-75.56286150,55,0.00000,0.00000,0,0
903430,6.24594820,-75.56286150,55,0.00000,0.00000,0,0
904431,6.24594820,-75.56286150,55,0.00000,0.00000,0,0
905430,6.24594820,-75.56286150,55,0.00000,0.00000,0,0
906426,6.24594820,-75.56286150,55,0.00000,0.00000,0,0
907428,6.24620190,-75.56322400,29,1528.50000,0.00000,0,0
908431,6.24620190,-75.56322400,29,1528.50000,0.00000,0,0
909477,6.24620190,-75.56322400,29,1528.50000,0.00000,0,0
910478,6.24620190,-75.56322400,29,1528.50000,0.00000,0,0
911479,6.24620190,-75.56322400,29,1528.50000,0.00000,0,0
912478,6.24639200,-75.56315150,33,0.00000,0.00000,0,0
913483,6.24639200,-75.56315150,33,0.00000,0.00000,0,0
